student_id,cohort_year,program,semester,attendance_rate,assignment_score,quiz_average,midterm_score,final_exam_score,lms_logins,study_hours_per_week,internet_access,part_time_work_hours,commute_minutes,ai_tool_usage_frequency,previous_gpa,final_grade,passed,submission_delay_days,missing_reason_flag
S100000,2023,Computer Science,6,84.15,83.08,82.99,100.0,100.0,59,14.32,stable,0.0,47.59,sometimes,3.3,90.46,1,2.0,none
S100001,2022,Economics,6,87.77,94.66,74.36,100.0,100.0,69,8.67,stable,7.2,2.92,very_often,3.5,94.0,1,0.0,none
S100002,2024,Public Health,3,77.59,73.19,71.43,95.27,100.0,33,4.55,limited,0.35,47.33,often,3.4,85.61,1,2.0,none
S100003,2023,Computer Science,3,86.13,78.0,75.35,92.44,94.98,47,7.16,stable,8.34,4.87,sometimes,3.03,90.48,1,1.0,none
S100004,2021,Education,8,100.0,98.97,86.06,100.0,100.0,48,8.06,stable,11.44,32.88,often,4.0,100.0,1,1.0,none
S100005,2024,Public Health,7,76.9,85.21,69.37,100.0,86.04,70,7.32,stable,16.44,14.06,sometimes,2.84,78.03,1,0.0,none
S100006,2023,Economics,4,79.61,92.22,63.89,100.0,92.16,82,16.25,limited,2.03,60.76,sometimes,2.28,83.05,1,0.0,none
S100007,2023,Education,2,70.29,69.41,69.55,89.9,92.67,61,15.34,stable,12.8,14.17,rarely,2.36,80.87,1,1.0,self_report_missing
S100008,2021,Education,3,63.09,96.93,76.62,100.0,100.0,70,21.15,limited,10.1,5.3,often,3.66,91.29,1,1.0,none
S100009,2022,Computer Science,5,83.81,79.74,72.05,100.0,96.27,60,7.57,stable,12.43,37.4,sometimes,2.97,85.29,1,2.0,none
S100010,2022,Education,5,86.49,92.83,87.96,100.0,100.0,46,18.68,stable,6.36,27.55,never,3.07,93.27,1,1.0,none
S100011,2024,Psychology,2,80.6,84.56,78.56,99.82,96.18,67,17.59,stable,19.68,7.92,often,2.76,88.91,1,4.0,none
S100012,2023,Education,1,65.47,84.65,63.12,100.0,91.35,40,10.21,stable,9.28,44.46,never,2.8,79.92,1,0.0,none
S100013,2024,Economics,4,80.92,87.43,70.57,100.0,90.66,52,12.34,limited,22.42,0.0,often,2.65,80.13,1,1.0,none
S100014,2022,Psychology,7,86.75,98.12,91.53,100.0,93.77,72,17.23,stable,4.47,16.35,rarely,3.21,93.35,1,1.0,none
S100015,2022,Economics,2,73.32,81.99,68.75,100.0,90.41,53,10.52,stable,15.2,24.65,sometimes,2.96,83.09,1,0.0,system_issue
S100016,2023,Psychology,4,69.08,95.21,71.88,100.0,100.0,64,10.62,stable,9.58,49.44,often,3.2,90.91,1,0.0,none
S100017,2021,Education,2,79.46,79.48,77.99,97.8,100.0,65,8.56,stable,7.71,58.32,rarely,3.15,86.4,1,0.0,none
S100018,2024,Economics,2,86.59,61.07,70.06,98.15,100.0,25,0.23,stable,14.43,54.85,often,2.81,81.42,1,1.0,none
S100019,2023,Psychology,5,82.38,75.68,66.7,100.0,100.0,30,11.68,stable,7.91,32.24,sometimes,2.34,82.34,1,2.0,none
S100020,2023,Computer Science,3,67.02,71.03,57.74,100.0,83.99,62,8.81,unstable,0.0,0.0,often,2.3,70.75,1,1.0,none
S100021,2022,Education,3,85.62,95.47,81.2,100.0,100.0,63,7.16,limited,0.0,42.04,rarely,4.0,97.75,1,1.0,none
S100022,2024,Education,8,90.3,87.77,87.21,100.0,100.0,58,12.39,limited,18.91,61.47,often,3.67,97.99,1,2.0,none
S100023,2024,Psychology,2,73.01,81.59,81.96,100.0,100.0,50,3.98,stable,18.61,57.21,sometimes,3.6,87.3,1,0.0,none
S100024,2023,Economics,2,80.5,74.2,62.35,99.56,94.53,65,13.77,stable,23.21,43.33,sometimes,2.7,82.15,1,1.0,none
S100025,2021,Psychology,8,96.36,94.83,91.97,100.0,100.0,66,13.39,stable,9.88,13.59,sometimes,3.0,93.51,1,2.0,none
S100026,2022,Computer Science,5,67.48,76.51,64.35,100.0,96.27,48,10.12,stable,0.95,25.54,sometimes,2.63,76.7,1,0.0,none
S100027,2021,Psychology,1,88.6,78.47,77.91,100.0,100.0,64,11.15,stable,7.06,69.81,sometimes,2.41,84.29,1,1.0,none
S100028,2021,Economics,4,97.71,92.25,68.95,100.0,100.0,46,5.84,stable,10.08,9.5,rarely,2.74,95.06,1,1.0,none
S100029,2023,Economics,5,84.26,93.24,70.35,100.0,100.0,60,15.14,stable,2.95,14.34,sometimes,3.6,88.18,1,6.0,none
S100030,2023,Education,3,80.17,79.27,67.45,98.29,98.75,55,11.12,stable,21.54,51.97,often,3.38,85.89,1,1.0,system_issue
S100031,2024,Economics,5,86.58,80.13,69.73,94.91,90.73,44,11.12,limited,25.68,27.24,sometimes,2.56,82.44,1,1.0,none
S100032,2022,Psychology,6,80.22,98.85,77.2,100.0,100.0,47,13.19,stable,13.35,13.73,rarely,2.86,94.88,1,2.0,none
S100033,2022,Economics,3,59.39,85.74,68.89,100.0,88.99,73,8.32,stable,9.92,62.5,sometimes,3.34,89.06,1,3.0,none
S100034,2022,Education,7,79.17,80.25,66.49,100.0,97.44,38,5.09,stable,0.94,43.3,sometimes,2.74,82.76,1,0.0,none
S100035,2021,Computer Science,4,87.25,76.34,85.61,100.0,100.0,61,14.64,stable,20.83,28.13,often,3.04,91.71,1,2.0,none
S100036,2021,Public Health,8,87.89,97.53,78.95,100.0,,63,14.26,limited,10.53,14.38,very_often,3.18,94.11,1,1.0,system_issue
S100037,2022,Education,1,72.76,75.62,73.67,100.0,99.11,50,8.95,stable,7.98,71.85,sometimes,3.18,85.37,1,1.0,none
S100038,2022,Economics,3,76.55,92.14,96.04,100.0,100.0,62,12.77,limited,13.37,34.56,often,3.11,94.73,1,1.0,none
S100039,2023,Computer Science,6,85.5,83.96,75.83,100.0,100.0,63,17.19,limited,5.9,60.15,never,2.71,83.28,1,1.0,none
S100040,2022,Psychology,8,79.28,88.82,69.05,100.0,97.79,48,16.24,stable,11.03,51.09,very_often,2.75,86.37,1,1.0,none
S100041,2024,Computer Science,2,64.08,69.43,67.24,98.38,91.27,56,9.46,stable,0.0,25.62,sometimes,2.49,77.47,1,0.0,none
S100042,2023,Computer Science,8,90.59,66.04,72.64,100.0,100.0,42,3.89,stable,17.61,25.77,sometimes,2.3,79.82,1,4.0,none
S100043,2022,Public Health,2,78.51,78.97,71.91,100.0,96.34,67,5.33,stable,9.27,61.03,rarely,2.95,86.76,1,1.0,none
S100044,2024,Public Health,4,94.06,74.43,80.83,100.0,100.0,57,9.15,stable,18.11,61.33,rarely,3.37,86.51,1,5.0,none
S100045,2024,Education,3,62.27,92.98,77.03,92.6,91.69,50,17.89,unstable,8.59,1.22,often,2.38,81.4,1,2.0,none
S100046,2022,Economics,4,81.16,72.94,82.83,100.0,100.0,54,8.0,stable,9.05,44.9,rarely,3.12,92.21,1,2.0,none
S100047,2022,Economics,8,85.85,77.08,76.36,100.0,100.0,42,9.2,limited,1.51,32.82,sometimes,3.35,89.26,1,2.0,none
S100048,2023,Education,6,76.99,76.49,59.98,100.0,96.45,53,8.0,stable,15.32,16.4,rarely,2.17,75.63,1,0.0,none
S100049,2021,Psychology,7,65.78,83.22,70.41,98.26,89.83,47,9.3,unstable,3.87,39.71,very_often,2.88,77.36,1,1.0,none
